ID_Dünger;ID_DuengerArt;Bezeichnung;Duenger_lang;Einheit;Nges_PrzFM;NO3_N_PrzFM;NH4_N_PrzFM;Harnstoff_N_PrzFM;P_PrzFM;K_PrzFM;S_PrzFM;Mg_PrzFM;P2O5_PrzFM;K2O_PrzFM;CaCO3_PRZFM;THG_Faktor;Dichte_kg_je_l;Feldemission-N2O-Faktor;Feldemission-NO-Faktor;Feldemission-NH3-Faktor;Feldemission-organisch-NH3-Faktor;KEA_Biomasse;KEA_Fossil;KEA_Geothermal;KEA_Nuklear;KEA_Primaerwald;KEA_Sonne;KEA_Wasser;KEA_Wind;Summe KEA_Dünger [MJ/kg Dünger];ID_DuengerArt;ID_Frucht;Frucht;ID_Frucht;Fruchtart-Faktor N2O;Fruchtart-Faktor NO;Fruchtart-Faktor NH3
D55;2;NK-Dünger 21-10;NK-Dünger 21-10;kg/ha;21;;;0;0;8,3;0,05;0;0;10,0015;;0,529;1;0,0038;0,0061;-0,748;0;0,05;3,951;0,004;12432,84;0;0;0,055;0,004;12436,904;2;;;;;;
D61;2;NP-Dünger 18-20;NP-Dünger 18-20;kg/ha;18;18;;0;8,72;0;0,05;0;19,981008;0;;0,564;1;0,0038;0,0061;-0,748;0;3,374;6,805;0,239;0,788;0,012;3,254;0,599;0,463;15,534;2;;;;;;
D56;2;NP-Dünger 20-15;NP-Dünger 20-15;kg/ha;20;20;;0;6,54;0;0,05;0;14,985756;0;;0,547;1;0,0038;0,0061;-0,748;0;2,574;7,403;0,186;0,874;0,013;2,44;0,508;0,357;14,356;2;;;;;;
D62;2;NP-Dünger 20-20;NP-Dünger 20-20;kg/ha;20;20;;0;8,72;0;0,05;0;19,981008;0;;0,602;1;0,0038;0,0061;-0,748;0;3,387;7,513;0,241;0,875;0,013;3,254;0,617;0,466;16,366;2;;;;;;
D63;2;NP-Dünger 23-13;NP-Dünger 23-13;kg/ha;23;23;;0;5,668;0;0,05;0;12,9876552;0;;0,581;1;0,0038;0,0061;-0,748;0;2,269;8,421;0,166;1,005;0,014;2,115;0,492;0,318;14,8;2;;;;;;
D64;2;NPK 13-16-24;NPK 13-16-24;kg/ha;13;4,42;8,58;0;6,976;19,92;0,05;0;15,9848064;24,0036;;1,365;1;0,0038;0,0061;-0,748;0;;11,256;;0,383;;;;;11,639;2;;;;;;
D67;2;NPK 18-8-15;NPK 18-8-15;kg/ha;18;6;12;0;3,488;12,45;0,05;0;7,9924032;15,00225;;1,602;1;0,0038;0,0061;-0,748;0;;11,478;;0,279;;;;;11,758;2;;;;;;
D70;2;NPK-Dünger 12-12-12;NPK-Dünger 12-12-12;kg/ha;12;4;8;0;5,232;9,96;0;0;11,9886048;12,0018;;1,16;1;0,0038;0,0061;-0,748;0;;8,937;;0,27;;;;;9,207;2;;;;;;
D136;2;NPK-Dünger 12-12-17;NPK-Dünger 12-12-17;kg/ha;12;4;8;0;5,232;14,11;;;11,9886048;17,00255;;1,193;1;0,0038;0,0061;-0,748;0;;9,43;;0,296;;;;;9,726;2;;;;;;
D71;2;NPK-Dünger 13-13-21;NPK-Dünger 13-13-21;kg/ha;13;4,42;8,58;0;5,668;17,43;0,05;0;12,9876552;21,00315;;1,31;1;0,0038;0,0061;-0,748;0;;10,471;;0,334;;;;;10,805;2;;;;;;
